,,,,,,
Arena Matchings,,,,,,
,,,,,,
game_version,end_time,date,character,card_title,wins,player_id
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Chillwind Yeti,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Defender of Argus,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Eerie Statue,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Ogre Magi,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Ogre Magi,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Chillwind Yeti,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Piloted Shredder,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Violet Teacher,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Abomination,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Silver Hand Knight,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Boulderfist Ogre,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Drakonid Crusher,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Dread Infernal,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Lord of the Arena,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,War Golem,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Mekgineer Thermaplugg,1,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Power Overwhelming,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Soulfire,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Blood Imp,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Flame Imp,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Possessed Villager,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Possessed Villager,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Possessed Villager,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Soulfire,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Worgen Infiltrator,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Zealous Initiate,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Darkbomb,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Flame Juggler,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Flame Juggler,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Unstable Ghoul,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Demonwrath,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Acolyte of Pain,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Darkshire Councilman,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Silverback Patriarch,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Thrallmar Farseer,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Dark Iron Dwarf,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Infested Tauren,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Piloted Shredder,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Pit Lord,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Anubisath Sentinel,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Madder Bomber,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Psych-o-Tron,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Frost Elemental,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Wobbling Runts,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Captured Jormunger,4,1
5.0.0.12574,7:55 PM,5/8/2016,Warlock,Stormwind Champion,4,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Sacrificial Pact,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Mortal Coil,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Power Overwhelming,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Flame Imp,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Possessed Villager,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Tentacle of N'Zoth,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Zealous Initiate,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Faerie Dragon,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Faerie Dragon,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Huge Toad,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Loot Hoarder,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Succubus,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Succubus,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Spreading Madness,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Flesheating Ghoul,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Imp Gang Boss,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Fist of Jaraxxus,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Chillwind Yeti,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Elise Starseeker,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Gorillabot A-3,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Infested Tauren,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Floating Watcher,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Grim Patron,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Madder Bomber,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Mukla's Champion,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Sludge Belcher,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Bog Creeper,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,War Golem,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Force-Tank MAX,3,1
5.0.0.12574,10:27 PM,5/16/2016,Warlock,Force-Tank MAX,3,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Backstab,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Deadly Poison,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Buccaneer,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Injured Kvaldir,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Murloc Raider,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Eviscerate,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Shiv,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Bloodsail Raider,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Bloodsail Raider,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Puddlestomper,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Ship's Cannon,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Harvest Golem,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Mind Control tech,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Raging Worgen,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Spider Tank,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Spider Tank,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Tinker's Sharpsword Oil,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Chillwind Yeti,4,1
5.0.0.12574,5:24 PM,5/18/2016,Rogue,Dark Iron Dwarf,4,1
